id,patient_id,user_id,full_name,address,bank_name,bank_account_number,paying_for,insurance_provider,insurance_tier_availed,medication_used,quantity,total_price_php,terms_accepted,payment_status,created_at,updated_at
1,P0001,19cc9220-5a64-4587-8201-8741033647bd,Maria Johnson,"328 Birch St, Fairview, NY 63957",State Bank,6523076004,Vaccination,Kaiser,Gold,Blood Test Kit,11,19921.0,Installment Plan,pending,2024-08-16 00:00:00.000+00,2024-04-25 00:00:00.000+00
2,P0002,627cfec3-9c60-4a90-803f-67b58d25722d,John Rodriguez,"296 Main St, Cedarburg, GA 65145",Metro Bank,4043863384,Dermatology Treatment,Cigna,Standard,Flu Vaccine,70,13312.6,Installment Plan,failed,2024-09-05 00:00:00.000+00,2024-02-04 00:00:00.000+00
3,P0003,ac020397-a697-41a0-99a1-ae08b1194b29,James Williams,"765 Pine Rd, Cedarburg, GA 63244",First National Bank,5218992318,Cardiology Consultation,Blue Cross,Gold,Ibuprofen 200mg,41,33148.67,Cash Payment,failed,2024-09-21 00:00:00.000+00,2024-06-15 00:00:00.000+00
4,P0004,5abbe3bd-2a73-49a6-8c13-6fc4be4615aa,John Williams,"887 Elm St, Riverside, GA 68306",Metro Bank,8546620797,Dental Checkup,United Healthcare,Standard,Ibuprofen 200mg,29,20663.73,Partial Payment,pending,2024-09-01 00:00:00.000+00,2024-06-19 00:00:00.000+00
5,P0005,627cfec3-9c60-4a90-803f-67b58d25722d,Michael Miller,"839 Oak Ave, Pineville, GA 66422",City Bank,9576643083,Vaccination,Blue Shield,Bronze,Blood Test Kit,68,30965.01,Bank Transfer,failed,2024-09-07 00:00:00.000+00,2024-06-10 00:00:00.000+00
6,P0006,4d827ca3-346f-4a22-8fbd-eecbf879415d,James Garcia,"788 Elm St, Pineville, TX 60893",Community Bank,1740891387,General Consultation,Blue Cross,Silver,Aspirin 100mg,93,4220.82,Bank Transfer,completed,2024-11-20 00:00:00.000+00,2024-06-13 00:00:00.000+00
7,P0007,c917ee02-fce2-4f01-97ee-0a66020cb6dd,Jane Williams,"249 Oak Ave, Elmwood, GA 60287",First National Bank,6126211964,Eye Examination,Blue Shield,Standard,Flu Vaccine,11,25353.82,Cash Payment,pending,2024-01-25 00:00:00.000+00,2024-03-20 00:00:00.000+00
8,P0008,3fcf319f-e8ca-4bbe-b338-42d3956682d4,Emily Davis,"483 Pine Rd, Maplewood, FL 66645",Federal Bank,6026558716,Vaccination,Cigna,Platinum,Aspirin 100mg,95,4199.79,Insurance Covered,pending,2024-12-30 00:00:00.000+00,2024-07-27 00:00:00.000+00
9,P0009,c3405f5b-ba99-4775-a18d-93e4e08e822e,Robert Jones,"855 Pine Rd, Oakwood, IL 65452",First National Bank,5931384595,Dental Checkup,Blue Cross,Bronze,Blood Test Kit,41,28132.39,Insurance Covered,completed,2024-01-29 00:00:00.000+00,2024-08-30 00:00:00.000+00
10,P0010,2c680ce2-6991-4576-bd60-80c2db0ddf60,David Garcia,"720 Cedar Ln, Riverside, CO 66277",State Bank,6629889297,General Consultation,Cigna,Silver,Ibuprofen 200mg,57,16826.52,Cash Payment,pending,2024-08-30 00:00:00.000+00,2024-06-02 00:00:00.000+00
